,Precision,Recall,F1_score
0,0.998,0.993,0.995
1,0.990,0.997,0.994
2,0.990,0.986,0.988
3,0.994,0.975,0.984
4,0.977,0.999,0.988
5,0.980,0.988,0.984
6,0.992,0.981,0.987
7,0.987,0.979,0.983
8,0.964,0.992,0.978
9,0.983,0.969,0.976
